FID,Date,Island,Boat,Waypoint,Latitude,Longitude,Depth__m_,Habitat_Pr
0,10/19/2015 0:00:00,Montserrat,CC,57.000000000000000,16.675519999999999,-62.159489999999998,20.000000000000000,Low
1,10/19/2015 0:00:00,Montserrat,CC,58.000000000000000,16.705639999999999,-62.144849999999998,43.000000000000000,Low
2,10/19/2015 0:00:00,Montserrat,CC,60.000000000000000,16.728320000000000,-62.144570000000002,79.000000000000000,Ridge to slope
3,10/19/2015 0:00:00,Montserrat,CC,61.000000000000000,16.729050000000001,-62.144990000000000,58.000000000000000,Ridge
4,10/19/2015 0:00:00,Montserrat,CC,62.000000000000000,16.729749999999999,-62.144179999999999,67.000000000000000,Low
5,10/19/2015 0:00:00,Montserrat,CC,63.000000000000000,16.730770000000000,-62.141060000000003,141.000000000000000,Dropoff
6,10/19/2015 0:00:00,Montserrat,CC,64.000000000000000,16.742270000000001,-62.135350000000003,79.000000000000000,Low
7,10/19/2015 0:00:00,Montserrat,CC,65.000000000000000,16.744620000000001,-62.137320000000003,64.000000000000000,Low
8,10/19/2015 0:00:00,Montserrat,CC,66.000000000000000,16.745509999999999,-62.138240000000003,56.000000000000000,Low
9,10/19/2015 0:00:00,Montserrat,CC,67.000000000000000,16.746240000000000,-62.139350000000000,52.000000000000000,Low
10,10/19/2015 0:00:00,Montserrat,CC,68.000000000000000,16.747800000000002,-62.136389999999999,67.000000000000000,Low
11,10/19/2015 0:00:00,Montserrat,CC,69.000000000000000,16.748230000000000,-62.139930000000000,53.000000000000000,Low
12,10/19/2015 0:00:00,Montserrat,CC,70.000000000000000,16.759509999999999,-62.142359999999996,39.000000000000000,Ridge
13,10/19/2015 0:00:00,Montserrat,CC,72.000000000000000,16.760500000000000,-62.142449999999997,36.000000000000000,Ridge
14,10/19/2015 0:00:00,Montserrat,CC,73.000000000000000,16.760459999999998,-62.141590000000001,51.000000000000000,Slope
15,10/19/2015 0:00:00,Montserrat,CC,74.000000000000000,16.763490000000001,-62.142550000000000,45.000000000000000,Ridge
16,10/19/2015 0:00:00,Montserrat,CC,75.000000000000000,16.781849999999999,-62.140000000000001,59.000000000000000,Dropoff
17,10/19/2015 0:00:00,Montserrat,CC,76.000000000000000,16.781780000000001,-62.139029999999998,67.000000000000000,Dropoff
18,10/19/2015 0:00:00,Montserrat,CC,77.000000000000000,16.779589999999999,-62.152760000000001,51.000000000000000,Low
19,10/19/2015 0:00:00,Montserrat,CC,78.000000000000000,16.777200000000001,-62.152189999999997,50.000000000000000,Low
20,10/19/2015 0:00:00,Montserrat,CC,79.000000000000000,16.776289999999999,-62.152160000000002,50.000000000000000,Low
21,10/19/2015 0:00:00,Montserrat,CC,80.000000000000000,16.777629999999998,-62.155490000000000,41.000000000000000,Medium
22,10/19/2015 0:00:00,Montserrat,CC,81.000000000000000,16.796900000000001,-62.159660000000002,39.000000000000000,Slope
23,10/19/2015 0:00:00,Montserrat,CC,82.000000000000000,16.797720000000002,-62.160150000000002,37.000000000000000,Slope
24,10/19/2015 0:00:00,Montserrat,CC,83.000000000000000,16.798780000000001,-62.160539999999997,36.000000000000000,Low
25,10/19/2015 0:00:00,Montserrat,CC,84.000000000000000,16.801919999999999,-62.160080000000001,37.000000000000000,Medium
26,10/19/2015 0:00:00,Montserrat,CC,85.000000000000000,16.802800000000001,-62.160989999999998,34.000000000000000,Low
27,10/19/2015 0:00:00,Montserrat,CC,86.000000000000000,16.804760000000002,-62.161969999999997,36.000000000000000,Medium
28,10/19/2015 0:00:00,Montserrat,CC,87.000000000000000,16.805350000000001,-62.161540000000002,38.000000000000000,Low
29,10/19/2015 0:00:00,Montserrat,CC,88.000000000000000,16.806339999999999,-62.159329999999997,40.000000000000000,High (By Dropoff)
30,10/19/2015 0:00:00,Montserrat,CC,89.000000000000000,16.806750000000001,-62.160010000000000,37.000000000000000,High
31,10/19/2015 0:00:00,Montserrat,CC,90.000000000000000,16.807580000000002,-62.160719999999998,36.000000000000000,High
32,10/19/2015 0:00:00,Montserrat,CC,91.000000000000000,16.808509999999998,-62.161090000000002,35.000000000000000,High
33,10/19/2015 0:00:00,Montserrat,CC,92.000000000000000,16.810479999999998,-62.163119999999999,34.000000000000000,Medium
34,10/19/2015 0:00:00,Montserrat,CC,93.000000000000000,16.811199999999999,-62.163899999999998,35.000000000000000,Medium
35,10/19/2015 0:00:00,Montserrat,CC,94.000000000000000,16.817959999999999,-62.164230000000003,31.000000000000000,High (Big Mama)
36,10/19/2015 0:00:00,Montserrat,CC,95.000000000000000,16.818339999999999,-62.163670000000003,35.000000000000000,High (Big Mama)
37,10/19/2015 0:00:00,Montserrat,CC,96.000000000000000,16.818159999999999,-62.165309999999998,28.000000000000000,High (Big Mama)
38,10/19/2015 0:00:00,Montserrat,CC,97.000000000000000,16.819459999999999,-62.168300000000002,37.000000000000000,High (Big Mama)
39,10/19/2015 0:00:00,Montserrat,CC,98.000000000000000,16.821290000000001,-62.166249999999998,30.000000000000000,Dropoff
40,10/19/2015 0:00:00,Montserrat,CC,99.000000000000000,16.822030000000002,-62.167079999999999,32.000000000000000,Dropoff
41,10/19/2015 0:00:00,Montserrat,CC,100.000000000000000,16.823740000000001,-62.168010000000002,30.000000000000000,High
42,10/19/2015 0:00:00,Montserrat,CC,101.000000000000000,16.824390000000001,-62.169719999999998,34.000000000000000,Low
43,10/19/2015 0:00:00,Montserrat,CC,102.000000000000000,16.825050000000001,-62.171039999999998,35.000000000000000,Medium
44,10/19/2015 0:00:00,Montserrat,CC,103.000000000000000,16.826000000000001,-62.172559999999997,38.000000000000000,Medium
45,10/19/2015 0:00:00,Montserrat,CC,104.000000000000000,16.826840000000001,-62.173600000000000,37.000000000000000,Low
46,10/19/2015 0:00:00,Montserrat,CC,105.000000000000000,16.821040000000000,-62.173029999999997,39.000000000000000,Low
47,10/19/2015 0:00:00,Montserrat,CC,106.000000000000000,16.820519999999998,-62.172359999999998,39.000000000000000,Low
48,10/19/2015 0:00:00,Montserrat,CC,107.000000000000000,16.820380000000000,-62.169150000000002,37.000000000000000,Low
