"","Country","EEZ","Sovereign","Area_m2","Species..ASFIS.species.","Aquaculture.area..FAO.major.fishing.area.","Environment..Environment.","Unit","X2010","X2011","X2012","X2013","X2014","avg_prod"
"1","Alaska","United States Exclusive Exclusive Economic Zone (Alaska)","United States","3685135702000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Albania","Albanian Exclusive Economic Zone","Albania","11177294870","All","All","Marine","t",610,545,662,670,594.2,616.24
"3","Algeria","Algerian Exclusive Economic Zone","Algeria","128720237800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","American Samoa","American Samoa Exclusive Economic Zone","United States","405895812700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Amsterdam Island and Saint Paul Island","Amsterdam Island & St. Paul Island Exclusive Economic Zone","rance","508689536800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Andaman and Nicobar","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","India","662190314000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Angola","Angolan Exclusive Economic Zone","Angola","492800059600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Anguilla","Anguilla Exclusive Economic Zone","United Kingdom","92435052520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Antarctica","Antarctic 200NM zone beyond the coastline","Antarctica","8618033041000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Antigua and Barbuda","Antigua and Barbuda Exclusive Economic Zone","Antigua and Barbuda","108263424600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Argentina","Argentinean Exclusive Economic Zone","Argentina","1080856043000","All","All","Marine","t",223,368,90,41.17,18.33,148.1
"12","Aruba","Aruban Exclusive Economic Zone","Netherlands","25343194980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Ascension","Ascension Exclusive Economic Zone","United Kingdom","443523469900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Australia","Australian Exclusive Economic Zone","Australia","6941485518000","All","All","Marine","t",65615,66965.46,72409.3,71792.6,66723.5,68701.172
"15","Australia - East Timor","Joint Development Area Australia - East Timor","Joint Development","34955570990",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Australia - Papua New Guinea","Protected Zone established under the Torres Strait Treaty","Australia - Papua New Guinea","3729431830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Australia/Indonesia","Area of overlap between Australian Seabed Jurisdiction and Indonesian Exclusive Economic Zone Jurisdiction","Australia/Indonesia","46141797910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Azerbaijan","Azerbaijanis Exclusive Economic Zone","Azerbaijan","78856738850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Azores","Portuguese Exclusive Economic Zone (Azores)","Portugal","955134711900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Bahamas","Bahamas Exclusive Economic Zone","Bahamas","596449802100","All","All","Marine","t",NA,NA,NA,NA,NA,NA
"21","Bahrain","Bahraini Exclusive Economic Zone","Bahrain","7615934213","All","All","Marine","t",3.19,3.42,1.72,NA,5.71,3.51
