Country ,Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment),Unit,2010,2011,2012,2013,2014
Albania,All,All,Marine,t,610,545,662,670,594
Argentina,All,All,Marine,t,223,368,90,41,18
Australia,All,All,Marine,t,65615,66965,72409,71793,66724
Bahamas,All,All,Marine,t,,,,,
Bahrain,All,All,Marine,t,3,3,2,,6
Belize,All,All,Marine,t,83,,4,3,2
Bonaire/S.Eustatius/Saba,All,All,Marine,t,,1,,,
Bosnia and Herzegovina,All,All,Marine,t,260,319,149,159,220
Brazil,All,All,Marine,t,85788,88255,99232,84759,87840
Bulgaria,All,All,Marine,t,698,642,878,1827,2520
Cambodia,All,All,Marine,t,2120,2500,2810,3250,4350
Canada,All,All,Marine,t,153942,162152,175879,161432,124886
Channel Islands,All,All,Marine,t,1130,1091,882,972,1317
Chile,All,All,Marine,t,676704,927859,1015563,1001191,1158665
China,All,All,Marine,t,23443888,24492640,26419502,27933656,28200315
"China, Hong Kong SAR",All,All,Marine,t,2148,1123,1787,1577,1896
Colombia,All,All,Marine,t,12689,9522,9045,4695,3012
Cook Islands,All,All,Marine,t,,,4,6,6
Costa Rica,All,All,Marine,t,,,,,
Croatia,All,All,Marine,t,8943,6563,6226,8784,9341
Cuba,All,All,Marine,t,1650,1796,1583,1519,1500
Cyprus,All,All,Marine,t,4045,4600,4273,5284,4792
Denmark,All,All,Marine,t,12780,12442,12527,16461,17668
Dominican Republic,All,All,Marine,t,1140,350,350,350,350
Ecuador,All,All,Marine,t,2,,,,5
El Salvador,All,All,Marine,t,12,12,17,17,17
Estonia,All,All,Marine,t,,,,,
Falkland Is.(Malvinas),All,All,Marine,t,,,,,
Faroe Islands,All,All,Marine,t,47575,60473,76564,75909,86454
"Fiji, Republic of",All,All,Marine,t,560,460,560,470,550
France,All,All,Marine,t,183240,167833,166625,160036,160760
French Polynesia,All,All,Marine,t,2184,2919,2655,2698,2087
Germany,All,All,Marine,t,4985,20910,7013,5116,5360
Greece,All,All,Marine,t,117063,107414,107729,110715,101836
Guadeloupe,All,All,Marine,t,3,2,2,2,15
Iceland,All,All,Marine,t,1467,976,997,706,454
India,All,All,Marine,t,22257,18514,17405,18600,17200
Indonesia,All,All,Marine,t,3512271,4613918,5769738,8381562,9033389
Ireland,All,All,Marine,t,45758,43609,35451,33390,30314
Israel,All,All,Marine,t,1175,1370,1980,2530,2403
Italy,All,All,Marine,t,71953,86347,85428,85428,85363
Jamaica,All,All,Marine,t,,,,,
Japan,All,All,Marine,t,1111338,867266,1039504,996329,986320
Kenya,All,All,Marine,t,40,160,400,400,
Kiribati,All,All,Marine,t,4745,4290,8280,2250,3580
"Korea, Dem. People's Rep",All,All,Marine,t,504600,504600,504600,504600,504700
"Korea, Republic of",All,All,Marine,t,1355000,1477547,1488949,1515210,1546681
Kuwait,All,All,Marine,t,10,10,10,2,2
Libya,All,All,Marine,t,,,,,
Madagascar,All,All,Marine,t,8001,7105,6353,8938,13055
Malaysia,All,All,Marine,t,297258,300245,376624,311427,288044
Malta,All,All,Marine,t,2916,2127,4336,5266,4917
Marshall Islands,All,All,Marine,t,,,,,1
Martinique,All,All,Marine,t,72,40,40,45,59
Mauritius,All,All,Marine,t,502,463,439,347,686
Mayotte,All,All,Marine,t,76,44,105,109,120
Mexico,All,All,Marine,t,104657,113265,101443,69919,96337
"Micronesia, Fed.States of",All,All,Marine,t,,,,,
Montenegro,All,All,Marine,t,270,320,281,281,262
Morocco,All,All,Marine,t,49,64,169,170,237
Mozambique,All,All,Marine,t,667,512,109,140,160
Myanmar,All,All,Marine,t,77273,56701,59777,58780,59950
Namibia,2/4/2016,All,Marine,t,645,473,475,615,825
Netherlands,All,All,Marine,t,60205,39400,42559,56820,56820
Netherlands Antilles,All,All,Marine,t,,,,,
New Caledonia,All,All,Marine,t,1220,1561,1663,1593,1656
New Zealand,All,All,Marine,t,109967,116591,98958,96550,108790
Nicaragua,All,All,Marine,t,,,,,
Nigeria,All,All,Marine,t,,,,,
Norway,All,All,Marine,t,1019714,1143820,1321034,1247762,1332422
Oman,All,All,Marine,t,,,,,
Pakistan,All,All,Marine,t,101,105,108,112,115
Palau,All,All,Marine,t,25,24,36,20,11
Panama,All,All,Marine,t,150,300,230,980,1459
Papua New Guinea,All,All,Marine,t,100,250,1400,2500,3000
Peru,All,All,Marine,t,71701,68592,42730,85625,76588
Philippines,All,All,Marine,t,1933396,1990090,1911703,1727165,1715663
Portugal,All,All,Marine,t,6001,6709,9475,8891,10113
Puerto Rico,All,All,Marine,t,,,,,
Qatar,All,All,Marine,t,,,,,
Romania,All,All,Marine,t,,1,2,2,32
Russian Federation,All,All,Marine,t,6264,10254,11446,25766,25251
Réunion,All,All,Marine,t,50,30,30,5,5
Saint Lucia,All,All,Marine,t,15,11,15,26,21
Samoa,All,All,Marine,t,,,,,
Saudi Arabia,All,All,Marine,t,22610,11214,7392,3240,17440
Senegal,All,All,Marine,t,39,118,196,190,246
Serbia and Montenegro,All,All,Marine,t,,,,,
Seychelles,All,All,Marine,t,,,,,
Singapore,All,All,Marine,t,3063,3458,3097,4463,4368
Slovenia,All,All,Marine,t,119,495,364,379,498
Solomon Islands,All,All,Marine,t,8000,8000,12850,16700,18000
South Africa,All,All,Marine,t,4006,4768,4261,4255,4405
Spain,All,All,Marine,t,229322,251054,243964,204338,264285
St. Pierre and Miquelon,All,All,Marine,t,,2,3,5,59
Sweden,All,All,Marine,t,3665,4725,4359,4824,4239
Taiwan Province of China,All,All,Marine,t,41429,38098,30390,31705,29196
"Tanzania, United Rep. of",All,All,Marine,t,6885,6601,6510,6689,6705
Thailand,All,All,Marine,t,270628,186729,185860,216839,209567
Timor-Leste,All,All,Marine,t,1500,1500,1500,1500,1500
Tonga,All,All,Marine,t,0,0,,0,0
Tunisia,All,All,Marine,t,350,70,220,630,96
Turkey,All,All,Marine,t,89153,88444,101248,110845,126063
