,Country,Species..ASFIS.species.,Aquaculture.area..FAO.major.fishing.area.,Environment..Environment.,Unit,X2010,X2011,X2012,X2013,X2014,avg_prod,suitable_area,total_area
1,Albania,All,All,Marine,t,610,545,662,670,594,616.2,4245.005017,12165.61059
2,Algeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,6542.439797,131184.4235
3,Angola,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,36288.24375,495861.8581
4,Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,88788.66446,9618928.142
5,Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,3382.937194,111560.0863
6,Argentina,All,All,Marine,t,223,368,90,41,18,148,531015.7145,1072785.766
7,Australia,All,All,Marine,t,65615,66965,72409,71793,66724,68701.2,1865942.632,9025052.509
8,Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,20132.02118,80576.1965
9,Bahamas,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,114844.5366,618667.2422
10,Bahrain,All,All,Marine,t,3,3,2,NA,6,3.5,7506.9624,7515.055316
11,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,52047.94935,112302.6207
12,Barbados,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,158.1655156,185073.3488
13,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,3473.327464,3491.701196
14,Belize,All,All,Marine,t,83,NA,4,3,2,23,9623.154926,34310.00203
15,Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,3117.064822,35528.36864
16,Bonaire/S.Eustatius/Saba,All,All,Marine,t,NA,1,NA,NA,NA,1,NA,NA
17,Bosnia and Herzegovina,All,All,Marine,t,260,319,149,159,220,221.4,6.269544053,12.97967938
18,Brazil,All,All,Marine,t,85788,88255,99232,84759,87840,89174.8,626312.8387,3677581.148
19,Brunei,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,7781.875322,43137.59207
20,Bulgaria,All,All,Marine,t,698,642,878,1827,2520,1313,10083.39509,34752.81221
21,Cambodia,All,All,Marine,t,2120,2500,2810,3250,4350,3006,48275.98995,48697.21723
22,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,11030.80247,15140.97913
23,Canada,All,All,Marine,t,153942,162152,175879,161432,124886,155658.2,1499194.733,5793221.854
24,Cape Verde,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,3460.824675,801936.7028
26,Chile,All,All,Marine,t,676704,927859,1015563,1001191,1158665,955996.4,101737.1218,3645778.446
27,China,All,All,Marine,t,23443888,24492640,26419502,27933656,28200315,26098000.2,778332.1262,963547.8628
28,"China, Hong Kong SAR",All,All,Marine,t,2148,1123,1787,1577,1896,1706.2,NA,NA
29,Colombia,All,All,Marine,t,12689,9522,9045,4695,3012,7792.6,41236.91666,728656.64
30,Comores,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,949.3242995,164777.4504
31,Cook Islands,All,All,Marine,t,NA,NA,4,6,6,5.333333333,NA,NA
32,Costa Rica,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,12727.09204,584702.6728
33,Croatia,All,All,Marine,t,8943,6563,6226,8784,9341,7971.4,26696.70035,55428.48497
34,Cuba,All,All,Marine,t,1650,1796,1583,1519,1500,1609.6,53200.39331,352265.9874
35,Cyprus,All,All,Marine,t,4045,4600,4273,5284,4792,4598.8,1839.45941,98453.32051
36,Democratic Republic of the Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,1726.658136,13360.66578
37,Denmark,All,All,Marine,t,12780,12442,12527,16461,17668,14375.6,244313.9776,2641137.793
38,Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,1609.897717,7223.433347
39,Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,290.9465664,28589.55525
40,Dominican Republic,All,All,Marine,t,1140,350,350,350,350,508,9749.415897,363807.9174
41,East Timor,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,1543.074359,74001.32952
42,Ecuador,All,All,Marine,t,2,NA,NA,NA,5,3.5,26040.21137,1077720.92
43,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,40936.45185,243230.4866
44,El Salvador,All,All,Marine,t,12,12,17,17,17,15,13311.65692,95098.98012
45,Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,9595.844568,304131.9296
46,Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,55657.72531,78353.57616
47,Estonia,All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,32950.56118,36442.33643
48,Falkland Is.(Malvinas),All,All,Marine,t,NA,NA,NA,NA,NA,#DIV/0!,NA,NA
49,Faroe Islands,All,All,Marine,t,47575,60473,76564,75909,86454,69395,NA,NA
50,Federal Republic of Somalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,35430.92735,781835.6268
52,"Fiji, Republic of",All,All,Marine,t,560,460,560,470,550,520,33083.05105,1283243.51
53,Finland,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,70517.63608,81003.6349
54,France,All,All,Marine,t,183240,167833,166625,160036,160760,167698.8,227718.7224,10055413.75
55,French Polynesia,All,All,Marine,t,2184,2919,2655,2698,2087,2508.6,NA,NA
56,Gabon,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,31066.96324,201753.7466
57,Gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,5335.017592,22956.79412
58,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,1658.898248,22951.88262
59,Germany,All,All,Marine,t,4985,20910,7013,5116,5360,8676.8,56384.91226,56597.65433
60,Ghana,NA,NA,NA,NA,NA,NA,NA,NA,NA,#DIV/0!,21413.40715,227218.0591
