"","EEZ","Country","Sovereign","Area_m2"
"0","Cocos Islands Exclusive Economic Zone","Cocos Islands","Australia",469065208100
"1","Christmas Island Exclusive Economic Zone","Christmas Island","Australia",329296085100
"2","Norfolk Island Exclusive Economic Zone","Norfolk Island","Australia",431631920100
"3","Australian Exclusive Economic Zone (Macquarie Island)","Macquarie Island","Australia",474228476500
"4","New Caledonian Exclusive Economic Zone","New Caledonia","France",1372865287000
"5","Vanuatu Exclusive Economic Zone","Vanuatu","Vanuatu",620779671900
"6","Solomon Islands Exclusive Economic Zone","Solomon Islands","Solomon Islands",1604986754000
"7","Micronesian Exclusive Economic Zone","Micronesia","Micronesia",3005199853000
"8","Nauruan Exclusive Economic Zone","Nauru","Nauru",309887943500
"9","Marshall Islands Exclusive Economic Zone","Marshall Islands","Marshall Islands",2000119265000
"10","Wake Island Exclusive Economic Zone","Wake Island","United States",408443799900
"11","Northern Mariana Islands and Guam Exclusive Economic Zone","Northern Mariana Islands and Guam","United States",973939245400
"12","Taiwanese Exclusive Economic Zone","Taiwan","Taiwan",342208886600
"13","Philippines Exclusive Economic Zone","Philippines","Philippines",1830854006000
"14","Papua New Guinean Exclusive Economic Zone","Papua New Guinea","Papua New Guinea",2403321997000
"15","Paracel Islands Exclusive Economic Zone","Paracel Islands","Disputed",294000397300
"16","Spratly Islands Exclusive Economic Zone","Spratly Islands","Disputed",440736084800
"17","Cambodian Exclusive Economic Zone","Cambodia","Cambodia",47859233010
"18","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)","Andaman and Nicobar","India",662190314000
"19","Comoran Exclusive Economic Zone","Comoro Islands","Comoro Islands",165206388800
"20","Mayotte Exclusive Economic Zone","Mayotte","France",63222282200
"21","Glorioso Exclusive Economic Zone","Glorioso Islands","France",43582590830
"22","Seychellois Exclusive Economic Zone","Seychelles","Seychelles",1337930914000
"23","Réunion Exclusive Economic Zone","Réunion","France",315823179500
"24","Bassas da India Exclusive Economic Zone","Bassas da India","France",121904055200
"25","Ile Tromelin Exclusive Economic Zone","Ile Tromelin","France",271446713700
"26","Mauritian Exclusive Economic Zone","Mauritius","Mauritius",1277049080000
"27","Sri Lankan Exclusive Economic Zone","Sri Lanka","Sri Lanka",532894345900
"28","Mozambican Exclusive Economic Zone","Mozambique","Mozambique",573483948100
"29","Madagascan Exclusive Economic Zone","Madagascar","Madagascar",1203109906000
"30","Kenyan Exclusive Economic Zone","Kenya","Kenya",112221457600
