,Island.Country.EEZ,Soveriegn,Attitude.of.Governement,Conflict,Corruption,GDP.per.capita,FDI.potential.,Inflation.rates,Regulatory.Quality,Political.Stability,Control.of.Corruption,FDI,Inflation,ease.of.doing.business,Trade.as...GDP,CPI.Growth,GDP.growth,GDP,Population,export,GDP_rescale,reg_q_rescale,pol_sta_rescale,con_cor_rescale,fdi_rescale,cpi_rescale
1,Anguilla,UK,NA,NA,NA,21382,NA,NA,0.89,1.32,1.25,85.45,NA,NA,-13.29,-1.86,2.45,0.3,15000,NA,2.453518741,4.254752852,5,4.291803279,1.008369172,1.358158996
2,Antigua and Barbuda ,Antigua and Barbuda,NA,NA,NA,14253,31,NA,0.53,1.07,0.67,154.06,NA,NA,-14.83,0.72,4.1,2.2,93581,45.3,1.950307052,3.707224335,4.512195122,3.531147541,1.013684936,2.221757322
3,Aruba,Netherlands,NA,NA,NA,26406,NA,NA,1.38,1.26,1.31,-22.57,-0.3,NA,17.29,0.48,2.5,2.5,113648,NA,2.808145691,5,4.882926829,4.370491803,1,2.141422594
4,Bahamas,Bahamas,50,NA,66,21962,82,77,0.25,0.96,1.29,384.91,0.8,121,-8.57,1.86,-1.7,9.1,327316,38.6,2.494458954,3.281368821,4.297560976,4.344262295,1.031570729,2.60334728
5,Barbados ,Barbados,75,NA,61,15253,80,83.7,0.51,1.32,1.79,254.52,-0.5,117,-6.74,-1.2,0.8,4.8,291495,37.3,2.020893626,3.676806084,5,5,1.021468374,1.579079498
6,Bonaire,Netherlands,NA,NA,NA,21000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,18659,NA,2.426554669,NA,NA,NA,NA,NA
7,British Virgin Islands ,UK,NA,NA,NA,30880,NA,NA,NA,NA,NA,51605,NA,NA,NA,0.84,2.2,0.5,34232,NA,3.123950025,NA,NA,NA,5,2.261924686
8,Cayman Islands,UK,NA,NA,NA,57458,NA,NA,0.82,1.19,1.03,18987.38,NA,NA,NA,-2.93,2,2.5,57268,NA,5,4.148288973,4.746341463,4.003278689,2.472852586,1
9,Cuba,Cuba,10,NA,47,7929,NA,66,-1.25,0.58,0.07,NA,4.5,NA,3.03,4.61,4.3,128.5,11179995,NA,1.503917555,1,3.556097561,2.744262295,NA,3.523849372
10,Cura’_,Netherlands,NA,NA,NA,19869,NA,NA,NA,NA,NA,175.14,NA,NA,-1761,0,-1.13,3.1,149035,NA,2.346721254,NA,NA,NA,1.015318172,1.980753138
11,Dominica,Dominica,75,NA,59,7089,32,89.5,0.26,1.19,0.62,35.96,NA,101,-14.4,-1.48,-1.8,0.8,73757,40.9,1.444624832,3.296577947,4.746341463,3.46557377,1.004534786,1.485355649
12,Dominican Republic ,Dominican Republic,75,3,31,6388,98,76.7,-0.04,0.17,-0.77,2221.5,3.34,103,-4.35,0.84,7,160.9,10606865,24.7,1.395143644,2.840304183,2.756097561,1.642622951,1.173866018,2.261924686
13,Grenada,Grenada,NA,NA,56,8610,NA,NA,0.01,0.81,0.31,60.67,NA,NA,-16.17,-1,5.1,1.5,111219,26.9,1.551987012,2.91634981,4.004878049,3.059016393,1.006449267,1.646025105
14,Guadeloupe,France,NA,NA,NA,21780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,402119,NA,2.481612197,NA,NA,NA,NA,NA
15,Haiti,Haiti,40,3,20,790,17,73.8,-1.16,-0.73,-1.26,104.2,13.9,181,-31.67,9.02,1.2,19.4,10485800,20,1,1.136882129,1,1,1.009821884,5
16,Jamaica,Jamaica,80,3,NA,4945,89,79.5,0.11,0.09,-0.33,794.48,3.6,67,-16.99,3.68,0.8,25.4,2970340,29.8,1.293287217,3.068441065,2.6,2.219672131,1.063303386,3.212552301
17,Martinque,France,NA,NA,39,24118,NA,NA,1.25,1.01,1.25,NA,NA,NA,NA,NA,NA,10.7,385552,NA,2.646643608,4.802281369,4.395121951,4.291803279,NA,NA
18,Montserrat,UK,NA,NA,NA,12407,NA,NA,NA,NA,NA,4.15,NA,NA,-52.23,-1.18,2,64,5267,NA,1.820004235,NA,NA,NA,1.002070212,1.585774059
19,Puerto Rico,US,NA,NA,NA,15900,NA,NA,0.98,0.84,0.13,78.16,NA,NA,NA,NA,NA,131,3578056,NA,2.06656314,4.391634981,4.063414634,2.82295082,1.007804357,NA
20,Saba,Netherlands,NA,NA,NA,23600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1920,NA,2.610079763,NA,NA,NA,NA,NA
21,Saint Kitts and Nevis,Saint Kitts and Nevis,NA,NA,NA,15645,NA,NA,0.17,0.67,0.27,75.67,NA,NA,-9.81,-1.72,3.8,1.4,52329,43.4,2.048563563,3.159695817,3.731707317,3.006557377,1.007611437,1.405020921
22,Saint Lucia ,Saint Lucia,65,NA,60,7761,NA,82.3,0.28,0.86,0.45,95.03,-0.98,NA,-1.37,-0.26,2.4,2.1,164464,46.3,1.49205901,3.326996198,4.102439024,3.242622951,1.009111411,1.893723849
23,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,75,NA,60,6652,28,82.9,NA,NA,NA,120.74,-1.73,NA,-30.65,-1.73,1.6,1.2,102350,25.5,1.413778499,NA,NA,NA,1.01110337,1.40167364
24,Saint-Barthelemy,France,NA,NA,NA,27700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,7209,NA,2.899484718,NA,NA,NA,NA,NA
25,Saint-Martin ,France,NA,NA,NA,19300,NA,NA,NA,NA,NA,NA,NA,NA,0.86,0,1.7,561.5,31949,NA,2.306557493,NA,NA,NA,NA,1.980753138
