"","Sovereign1","suitable_area","total_area"
"1","Albania",4245.0050172996,12165.6105921
"2","Algeria",6542.43979726644,131184.423485
"3","Angola",36288.2437542118,495861.858053
"4","Antarctica",88788.6644638964,9618928.14224
"5","Antigua and Barbuda",3382.93719401303,111560.086278
"6","Argentina",531015.714541495,1072785.76611
"7","Australia",1865942.63163813,9025052.5088335
"8","Azerbaijan",20132.0211805794,80576.1964994
"9","Bahamas",114844.536634585,618667.242186
"10","Bahrain",7506.96239986368,7515.05531597
"11","Bangladesh",52047.9493500134,112302.620749
"12","Barbados",158.165515632372,185073.348784726
"13","Belgium",3473.32746410491,3491.7011964
"14","Belize",9623.15492645994,34310.002032
"15","Benin",3117.06482225586,35528.368644
"16","Bosnia and Herzegovina",6.26954405312395,12.9796793791
"17","Brazil",626312.838737828,3677581.148179
"18","Brunei",7781.87532166186,43137.5920732
"19","Bulgaria",10083.3950920847,34752.8122073
"20","Cambodia",48275.9899542839,48697.2172266
"21","Cameroon",11030.8024710259,15140.979128
"22","Canada",1499194.73335197,5793221.8542309
"23","Cape Verde",3460.8246754456,801936.702842
"24","Chile",101737.121753712,3645778.445592
"25","China",778332.126203469,963547.862843
"26","Colombia",41236.9166594653,728656.640014102
"27","Comores",949.324299524509,164777.450393
"28","Costa Rica",12727.0920358353,584702.6728347
"29","Croatia",26696.7003483542,55428.4849722
"30","Cuba",53200.3933109075,352265.987352
"31","Cyprus",1839.4594097087,98453.3205103
"32","Democratic Republic of the Congo",1726.65813586483,13360.665776
"33","Denmark",244313.977585369,2641137.79306838
"34","Djibouti",1609.89771725203,7223.43334664
"35","Dominica",290.94656644929,28589.5552507
"36","Dominican Republic",9749.41589659635,363807.9174299
"37","East Timor",1543.07435880329,74001.32952337
"38","Ecuador",26040.2113707668,1077720.920332
"39","Egypt",40936.4518469223,243230.486587
"40","El Salvador",13311.6569180792,95098.9801233
"41","Equatorial Guinea",9595.84456817802,304131.929643
"42","Eritrea",55657.7253134764,78353.576159924
"43","Estonia",32950.561179845,36442.3364254
"44","Federal Republic of Somalia",35430.9273524293,781835.626833
"45","Fiji",33083.0510468883,1283243.50985
"46","Finland",70517.6360822953,81003.6348989
"47","France",227718.7223848,10055413.7518306
"48","Gabon",31066.9632355555,201753.746636
"49","Gambia",5335.01759245044,22956.7941229
"50","Georgia",1658.89824814599,22951.8826179
"51","Germany",56384.9122594515,56597.6543338
"52","Ghana",21413.4071452571,227218.059083
"53","Greece",38140.9718132357,482874.187763
"54","Grenada",1564.61837545904,25576.6292954
"55","Guatemala",10400.3730362022,110643.131743
"56","Guinea",46637.0242330429,102165.349909
"57","Guinea-Bissau",33294.8416851123,106745.931659
"58","Guyana",47092.341322536,138643.93438044
"59","Haiti",3723.25132050726,117388.6855855
"60","Honduras",56587.044764219,208534.450393
"61","Iceland",42100.1449540642,808677.2996979
"62","India",365497.782607559,2323827.064817
"63","Indonesia",1698752.75868013,6025109.71458
"64","Iran",117142.409174984,215347.604482
"65","Iraq",1136.29103795466,1187.50111346
"66","Ireland",63485.3761648566,426997.656893
"67","Israel",2265.30467640432,23511.4177216
"68","Italy",71977.3774118849,536727.544683
"69","Ivory Coast",10627.9682766837,172015.188351
"70","Jamaica",12570.0007802414,272300.7895556
"71","Japan",168511.372049436,4317016.8500704
"72","Jordan",3.72272438883956,97.0835220622
"73","Kazakhstan",84403.8312953121,114381.001862
"74","Kenya",5102.41159545178,164048.2246797
"75","Kiribati",5199.00407542096,3439873.027876
"76","Kuwait",11198.6489171201,11182.5360034
"77","Latvia",21051.3052832665,28355.9762185
"78","Lebanon",800.046433512448,20185.6097866
"79","Liberia",16269.28475731,251776.275286
"80","Libya",40354.0192658685,364446.950274
"81","Lithuania",6689.12856947603,6830.53928988
"82","Madagascar",109663.972014947,1239893.6441375
"83","Malaysia",352907.046758074,510822.838776
"84","Maldives",25585.1202024103,925222.836017
"85","Malta",1643.55398343208,52913.4248289
"86","Marshall Islands",17219.8115100441,2001385.96498
"87","Mauritania",30289.7343382213,173189.736645
"88","Mexico",332389.2289857,3186924.40663
"89","Micronesia",19644.8828941907,3010627.5342
"90","Monaco",4.94960746558369,287.610932884
"91","Montenegro",1878.29486349779,6382.36937715
"92","Morocco",38268.3532738015,280453.136651
"93","Mozambique",74222.1621601332,566107.319809
"94","Myanmar",188702.974618605,497442.180134
"95","Namibia",27350.9694664088,562210.160942
"96","Nauru",2.56427264040133,309260.512828
"97","Netherlands",70072.7936135071,144900.991311956
"98","New Zealand",136195.265894744,6712847.064358
"99","Nicaragua",71158.7964929487,228251.857132
"100","Nigeria",36320.221098279,179050.962041
"101","North Korea",32865.7356609233,114165.514473
"102","Norway",195193.3998787,2463907.208171
"103","Oman",43721.3573584479,556485.906171
