Island Country EEZ,Attitude of Governement,Conflict,Corruption,GDP per capita,FDI potential,Inflation rates,Regulatory Quality,Political Stability,Control of Corruption,FDI,Trade as % GDP,CPI Growth,GDP growth,Merchandise export growth rate
Anguilla,,,,21493.0,,,0.89,0.92,1.25,85.45,-13.29,-1.86,2.45,
Antigua and Barbuda ,,,,24100.0,126,,0.53,0.77,0.67,154.06,-14.83,0.72,4.1,
Aruba,,,,25300.0,,,0.9,0.92,,-22.57,17.29,0.48,2.5,
Bahamas,50,,66,24600.0,95,76.1,0.25,0.8,1.29,384.91,-8.57,1.86,-1.7,
Barbados ,75,,61,17200.0,97,83.7,0.51,1.32,1.79,254.52,-6.74,-1.2,0.8,
Bonaire,,,,21500.0,,,,,,,,,,
British Virgin Islands ,,,,42300.0,,,,,,51605,,0.84,2.2,
Cayman Islands,,,,43800.0,,,0.82,1.19,1.03,18987.38,,-2.93,2,
Cuba,10,,47,11600.0,,66,-1.25,0.58,0.07,,3.03,4.61,4.3,
Cura̤,,,,15000.0,,,,,,175.14,-1761,0,-1.13,-13.8
Dominica,75,,59,11400.0,145,89.5,0.26,1.19,0.62,35.96,-14.4,-1.48,-1.8,-16.1
Dominican Republic ,75,,31,15900.0,79,76.7,-0.04,0.17,-0.77,2221.5,-4.35,0.84,7,-4
Grenada,,,56,14100.0,,,0.01,0.81,0.31,60.67,-16.17,-1,5.1,-8.6
Guadeloupe,,,,25479.0,,,,,,,,,,
Haiti,,,20,1800.0,160,73.8,-1.16,-0.73,-1.26,104.2,-31.67,9.02,1.2,8.2
Jamaica,80,,,9000.0,88,,0.11,0.09,-0.33,794.48,-16.99,3.68,0.8,-13.1
Martinque,,,39,27688.0,,,1.25,1.01,1.25,,,,,
Montserrat,,,,8500.0,,,,,,4.15,-52.23,-1.18,2,-11.8
Puerto Rico,,,,37700.0,,,0.98,0.84,0.13,78.16,,,,
Saba,,,,23600.0,,,,,,,,,,
Saint Kitts and Nevis,,,,25500.0,,,0.17,0.67,0.27,75.67,-9.81,-1.72,3.8,-4.2
Saint Lucia ,65,,60,12000.0,,82.3,0.28,0.86,0.45,95.03,-1.37,-0.26,2.4,11.6
Saint Vincent and the Grenadines,75,,60,11300.0,149,82.9,,,,120.74,-30.65,-1.73,1.6,-5
Saint-Barthelemy,,,,27737.0,,,,,,,,,,
Saint-Martin ,,,,19300.0,,,,,,,0.86,0,1.7,-2.6
Sint- Eustatius,,,,26400.0,,,,,,,,,,
Sint-Maarten,,,,15469.0,,,,,,10.76,,,,
Trinidad and Tobago ,60,,35,31900.0,78,75.9,0.15,0.27,-0.54,1618.61,24.83,4.66,-0.04,-6
Turks and Caicos,,,,29100.0,,,,,,,,-0.31,2,7.3
Virgin Islands,,,,36100.0,,,0.53,1.32,0.67,,,,,
